"ARRAY_VS_SINGLETON","callee_ptr_arith","CWE-119"
"ARRAY_VS_SINGLETON","ptr_arith","CWE-119"
"ASSERT_SIDE_EFFECT","assert_side_effect","CWE-1006"
"ASSERT_SIDE_EFFECT","assignment_where_comparison_intended","CWE-481"
"ATOMICITY","use","CWE-667"
"BAD_ALLOC_ARITHMETIC","bad_alloc_arithmetic","CWE-131"
"BAD_ALLOC_STRLEN","bad_alloc_strlen","CWE-131"
"BAD_COMPARE","comparator_misuse","CWE-697"
"BAD_COMPARE","func_conv","CWE-697"
"BAD_COMPARE","misuse_of_not","CWE-697"
"BAD_COMPARE","null_misuse","CWE-697"
"BAD_COMPARE","string_lit_comparison","CWE-697"
"BAD_FREE","address_free","CWE-590"
"BAD_FREE","array_free","CWE-590"
"BAD_FREE","fnptr_free","CWE-763"
"BAD_FREE","freed_arg","CWE-763"
"BAD_FREE","incorrect_free","CWE-763"
"BAD_FREE","offset_free","CWE-763"
"BAD_LOCK_OBJECT","boxed_lock","CWE-543"
"BAD_LOCK_OBJECT","lock_on_assigned_field","CWE-543"
"BAD_LOCK_OBJECT","single_thread_lock","CWE-543"
"BAD_OVERRIDE","bad_override","CWE-398"
"BAD_SHIFT","large_shift","CWE-682"
"BAD_SHIFT","negative_shift","CWE-682"
"BAD_SIZEOF","bad_sizeof","CWE-467"
"BUFFER_SIZE","buffer_size","CWE-120"
"BUFFER_SIZE","overlapping_buffer","CWE-474"
"BUFFER_SIZE_WARNING","buffer_size_warning","CWE-120"
"CALL_SUPER","missing_super_call","CWE-573"
"CHAR_IO","char_io","CWE-704"
"CHECKED_RETURN","check_return","CWE-252"
"CHECKED_RETURN","unchecked_value","CWE-252"
"CHROOT","chroot","CWE-243"
"COMPILER_WARNING","warning[-Waddress-of-packed-member]","CWE-758"
"COMPILER_WARNING","warning[-Wbool-compare]","CWE-569"
"COMPILER_WARNING","warning[-Wbuiltin-declaration-mismatch]","CWE-686"
"COMPILER_WARNING","warning[-Wdeprecated-declarations]","CWE-477"
"COMPILER_WARNING","warning[-Wempty-body]","CWE-1071"
"COMPILER_WARNING","warning[-Wformat-extra-args]","CWE-685"
"COMPILER_WARNING","warning[-Wfree-nonheap-object]","CWE-590"
"COMPILER_WARNING","warning[-Wimplicit-function-declaration]","CWE-686"
"COMPILER_WARNING","warning[-Wimplicit-int]","CWE-573"
"COMPILER_WARNING","warning[-Wlogical-not-parentheses]","CWE-783"
"COMPILER_WARNING","warning[-Wmaybe-uninitialized]","CWE-457"
"COMPILER_WARNING","warning[-Wmisleading-indentation]","CWE-483"
"COMPILER_WARNING","warning[-Wmissing-braces]","CWE-665"
"COMPILER_WARNING","warning[-Wnull-dereference]","CWE-476"
"COMPILER_WARNING","warning[-Wpointer-compare]","CWE-569"
"COMPILER_WARNING","warning[-Wreturn-local-addr]","CWE-562"
"COMPILER_WARNING","warning[-Wswitch]","CWE-1023"
"COMPILER_WARNING","warning[-Wtautological-compare]","CWE-569"
"COMPILER_WARNING","warning[-Wuninitialized]","CWE-457"
"COMPILER_WARNING","warning[-Wunused-but-set-variable]","CWE-563"
"COMPILER_WARNING","warning[-Wunused-const-variable]","CWE-563"
"COMPILER_WARNING","warning[-Wunused-function]","CWE-1164"
"COMPILER_WARNING","warning[-Wunused-label]","CWE-1164"
"COMPILER_WARNING","warning[-Wunused-macros]","CWE-1164"
"COMPILER_WARNING","warning[-Wunused-parameter]","CWE-563"
"COMPILER_WARNING","warning[-Wunused-result]","CWE-252"
"COMPILER_WARNING","warning[-Wunused-value]","CWE-563"
"COMPILER_WARNING","warning[-Wunused-variable]","CWE-563"
"COMPILER_WARNING","warning[-Wwrite-strings]","CWE-710"
"CONSTANT_EXPRESSION_RESULT","always_true_or","CWE-569"
"CONSTANT_EXPRESSION_RESULT","bit_and_with_zero","CWE-569"
"CONSTANT_EXPRESSION_RESULT","extra_high_bits","CWE-569"
"CONSTANT_EXPRESSION_RESULT","impossible_and","CWE-569"
"CONSTANT_EXPRESSION_RESULT","logical_vs_bitwise","CWE-569"
"CONSTANT_EXPRESSION_RESULT","missing_parentheses","CWE-569"
"CONSTANT_EXPRESSION_RESULT","number_as_truth_value","CWE-569"
"CONSTANT_EXPRESSION_RESULT","operator_confusion","CWE-569"
"CONSTANT_EXPRESSION_RESULT","pointless_expression","CWE-569"
"CONSTANT_EXPRESSION_RESULT","pointless_string_compare","CWE-569"
"CONSTANT_EXPRESSION_RESULT","result_independent_of_operands","CWE-569"
"CONSTANT_EXPRESSION_RESULT","same_on_both_sides","CWE-569"
"CONSTANT_EXPRESSION_RESULT","typeof_misuse","CWE-569"
"COPY_PASTE_ERROR","copy_paste_error","CWE-398"
"CPPCHECK_WARNING","error[arrayIndexOutOfBounds]","CWE-823"
"CPPCHECK_WARNING","error[arrayIndexThenCheck]","CWE-129"
"CPPCHECK_WARNING","error[assignBoolToPointer]","CWE-587"
"CPPCHECK_WARNING","error[AssignmentAddressToInteger]","CWE-843"
"CPPCHECK_WARNING","error[AssignmentIntegerToAddress]","CWE-843"
"CPPCHECK_WARNING","error[autoVariables]","CWE-562"
"CPPCHECK_WARNING","error[autovarInvalidDeallocation]","CWE-590"
"CPPCHECK_WARNING","error[bufferAccessOutOfBounds]","CWE-119"
"CPPCHECK_WARNING","error[bufferNotZeroTerminated]","CWE-170"
"CPPCHECK_WARNING","error[comparisonOfBoolWithInt]","CWE-670"
"CPPCHECK_WARNING","error[cstyleCast]","CWE-704"
"CPPCHECK_WARNING","error[dangerousUsageStrtol]","CWE-676"
"CPPCHECK_WARNING","error[deadpointer]","CWE-825"
"CPPCHECK_WARNING","error[deallocDealloc]","CWE-415"
"CPPCHECK_WARNING","error[deallocret]","CWE-672"
"CPPCHECK_WARNING","error[deallocuse]","CWE-416"
"CPPCHECK_WARNING","error[doubleFree]","CWE-415"
"CPPCHECK_WARNING","error[duplicateBreak]","CWE-398"
"CPPCHECK_WARNING","error[duplicateExpression]","CWE-398"
"CPPCHECK_WARNING","error[duplicateIf]","CWE-398"
"CPPCHECK_WARNING","error[eraseDereference]","CWE-664"
"CPPCHECK_WARNING","error[exceptThrowInDestructor]","CWE-460"
"CPPCHECK_WARNING","error[fflushOnInputStream]","CWE-475"
"CPPCHECK_WARNING","error[floatConversionOverflow]","CWE-190"
"CPPCHECK_WARNING","error[incorrectLogicOperator]","CWE-480"
"CPPCHECK_WARNING","error[incorrectStringBooleanError]","CWE-571"
"CPPCHECK_WARNING","error[incorrectStringCompare]","CWE-597"
"CPPCHECK_WARNING","error[insecureCmdLineArgs]","CWE-120"
"CPPCHECK_WARNING","error[integerOverflow]","CWE-190"
"CPPCHECK_WARNING","error[invalidFunctionArgBool]","CWE-686"
"CPPCHECK_WARNING","error[invalidFunctionArg]","CWE-628"
"CPPCHECK_WARNING","error[invalidPointer]","CWE-664"
"CPPCHECK_WARNING","error[invalidScanfFormatWidth]","CWE-120"
"CPPCHECK_WARNING","error[IOWithoutPositioning]","CWE-227"
"CPPCHECK_WARNING","error[iterators]","CWE-664"
"CPPCHECK_WARNING","error[leakNoVarFunctionCall]","CWE-401"
"CPPCHECK_WARNING","error[leakReturnValNotUsed]","CWE-252"
"CPPCHECK_WARNING","error[mallocOnClassError]","CWE-665"
"CPPCHECK_WARNING","error[memleak]","CWE-401"
"CPPCHECK_WARNING","error[memleakOnRealloc]","CWE-401"
"CPPCHECK_WARNING","error[memsetClass]","CWE-686"
"CPPCHECK_WARNING","error[memsetZeroBytes]","CWE-687"
"CPPCHECK_WARNING","error[mismatchAllocDealloc]","CWE-762"
"CPPCHECK_WARNING","error[mismatchSize]","CWE-131"
"CPPCHECK_WARNING","error[negativeIndex]","CWE-786"
"CPPCHECK_WARNING","error[negativeMemoryAllocationSize]","CWE-131"
"CPPCHECK_WARNING","error[noConstructor]","CWE-456"
"CPPCHECK_WARNING","error[nonreentrantFunctions]","CWE-663"
"CPPCHECK_WARNING","error[nullPointerArithmetic]","CWE-682"
"CPPCHECK_WARNING","error[nullPointer]","CWE-476"
"CPPCHECK_WARNING","error[obsoleteFunctions]","CWE-477"
"CPPCHECK_WARNING","error[operatorEq]","CWE-480"
"CPPCHECK_WARNING","error[outOfBounds]","CWE-805"
"CPPCHECK_WARNING","error[overlappingWriteUnion]","CWE-758"
"CPPCHECK_WARNING","error[overlappingWriteFunction]","CWE-758"
"CPPCHECK_WARNING","error[passedByValue]","CWE-686"
"CPPCHECK_WARNING","error[pointerArithBool]","CWE-571"
"CPPCHECK_WARNING","error[pointerOutOfBounds]","CWE-823"
"CPPCHECK_WARNING","error[possibleBufferAccessOutOfBounds]","CWE-119"
"CPPCHECK_WARNING","error[possibleReadlinkBufferOverrun]","CWE-805"
"CPPCHECK_WARNING","error[publicAllocationError]","CWE-401"
"CPPCHECK_WARNING","error[readWriteOnlyFile]","CWE-665"
"CPPCHECK_WARNING","error[redundantAssignInSwitch]","CWE-484"
"CPPCHECK_WARNING","error[redundantStrcpyInSwitch]","CWE-484"
"CPPCHECK_WARNING","error[resourceLeak]","CWE-404"
"CPPCHECK_WARNING","error[returnAddressOfAutoVariable]","CWE-562"
"CPPCHECK_WARNING","error[returnAddressOfFunctionParameter]","CWE-562"
"CPPCHECK_WARNING","error[returnAutocstr]","CWE-562"
"CPPCHECK_WARNING","error[returnLocalVariable]","CWE-562"
"CPPCHECK_WARNING","error[returnReference]","CWE-562"
"CPPCHECK_WARNING","error[returnTempPointer]","CWE-562"
"CPPCHECK_WARNING","error[returnTempReference]","CWE-562"
"CPPCHECK_WARNING","error[secondAlwaysTrueFalseWhenFirstTrue]","CWE-670"
"CPPCHECK_WARNING","error[selfInitialization]","CWE-665"
"CPPCHECK_WARNING","error[shiftNegative]","CWE-475"
"CPPCHECK_WARNING","error[shiftTooManyBits]","CWE-758"
"CPPCHECK_WARNING","error[sizeArgumentAsChar]","CWE-805"
"CPPCHECK_WARNING","error[sizeofCalculation]","CWE-131"
"CPPCHECK_WARNING","error[sizeofsizeof]","CWE-131"
"CPPCHECK_WARNING","error[sizeofwithnumericparameter]","CWE-131"
"CPPCHECK_WARNING","error[sizeofwithsilentarraypointer]","CWE-131"
"CPPCHECK_WARNING","error[sprintfOverlappingData]","CWE-628"
"CPPCHECK_WARNING","error[staticStringCompare]","CWE-597"
"CPPCHECK_WARNING","error[stlBoundaries]","CWE-596"
"CPPCHECK_WARNING","error[stlcstr]","CWE-227"
"CPPCHECK_WARNING","error[stringCompare]","CWE-597"
"CPPCHECK_WARNING","error[stringLiteralWrite]","CWE-758"
"CPPCHECK_WARNING","error[strncatUsage]","CWE-805"
"CPPCHECK_WARNING","error[strPlusChar]","CWE-468"
"CPPCHECK_WARNING","error[switchCaseFallThrough]","CWE-484"
"CPPCHECK_WARNING","error[terminateStrncpy]","CWE-170"
"CPPCHECK_WARNING","error[throwInNoexceptFunction]","CWE-398"
"CPPCHECK_WARNING","error[udivError]","CWE-195"
"CPPCHECK_WARNING","error[uninitdata]","CWE-456"
"CPPCHECK_WARNING","error[uninitstring]","CWE-170"
"CPPCHECK_WARNING","error[uninitStructMember]","CWE-909"
"CPPCHECK_WARNING","error[uninitvar]","CWE-457"
"CPPCHECK_WARNING","error[uninitVar]","CWE-457"
"CPPCHECK_WARNING","error[unknownEvaluationOrder]","CWE-768"
"CPPCHECK_WARNING","error[unsignedPositive]","CWE-571"
"CPPCHECK_WARNING","error[unusedScopedObject]","CWE-826"
"CPPCHECK_WARNING","error[useAutoPointerArray]","CWE-404"
"CPPCHECK_WARNING","error[useClosedFile]","CWE-908"
"CPPCHECK_WARNING","error[va_end_missing]","CWE-664"
"CPPCHECK_WARNING","error[va_list_usedBeforeStarted]","CWE-664"
"CPPCHECK_WARNING","error[va_start_referencePassed]","CWE-758"
"CPPCHECK_WARNING","error[va_start_subsequentCalls]","CWE-664"
"CPPCHECK_WARNING","error[wrongcctypecall]","CWE-843"
"CPPCHECK_WARNING","error[wrongmathcall]","CWE-687"
"CPPCHECK_WARNING","error[wrongPrintfScanfArgs]","CWE-686"
"CPPCHECK_WARNING","error[wrongPrintfScanfArgNum]","CWE-685"
"CPPCHECK_WARNING","error[zerodiv]","CWE-369"
"CPPCHECK_WARNING","warning[invalidLengthModifierError]","CWE-687"
"CPPCHECK_WARNING","warning[invalidScanfArgType_float]","CWE-686"
"CPPCHECK_WARNING","warning[invalidScanfArgType_int]","CWE-686"
"CPPCHECK_WARNING","warning[invalidScanfArgType_s]","CWE-686"
"CPPCHECK_WARNING","warning[nullPointer]","CWE-476"
"CTOR_DTOR_LEAK","ctor_dtor_leak","CWE-772"
"DC.STREAM_BUFFER","dont_call","CWE-120"
"DC.WEAK_CRYPTO","dont_call","CWE-327"
"DEADCODE","dead_error_begin","CWE-561"
"DEADCODE","dead_error_line","CWE-561"
"DEADCODE","effectively_constant","CWE-561"
"DELETE_ARRAY","deleted_arg","CWE-459"
"DELETE_ARRAY","delete_array_var","CWE-459"
"DELETE_ARRAY","delete_var","CWE-459"
"EVALUATION_ORDER","read_write_order","CWE-783"
"EVALUATION_ORDER","write_write_order","CWE-783"
"EVALUATION_ORDER","write_write_typo","CWE-758"
"EXPLICIT_THIS_EXPECTED","implicit_this_used","CWE-628"
"FORWARD_NULL","call","CWE-476"
"FORWARD_NULL","dereference","CWE-476"
"FORWARD_NULL","deref_parm","CWE-476"
"FORWARD_NULL","invalid_operation","CWE-476"
"FORWARD_NULL","null_array_access","CWE-476"
"FORWARD_NULL","null_array_length","CWE-476"
"FORWARD_NULL","null_field_access","CWE-476"
"FORWARD_NULL","null_method_call","CWE-476"
"FORWARD_NULL","null_throw","CWE-476"
"FORWARD_NULL","property_access","CWE-476"
"FORWARD_NULL","unbox_null","CWE-476"
"FORWARD_NULL","var_deref_model","CWE-476"
"FORWARD_NULL","var_deref_op","CWE-476"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-double-fclose]","CWE-910"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-double-free]","CWE-415"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-file-leak]","CWE-775"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-free-of-non-heap]","CWE-590"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-malloc-leak]","CWE-401"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-null-argument]","CWE-688"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-null-dereference]","CWE-476"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-possible-null-argument]","CWE-688"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-possible-null-dereference]","CWE-476"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-unsafe-call-within-signal-handler]","CWE-479"
"GCC_ANALYZER_WARNING","warning[-Wanalyzer-use-after-free]","CWE-416"
"GUARDED_BY_VIOLATION","missing_lock","CWE-366"
"IDENTICAL_BRANCHES","identical_branches","CWE-398"
